port_label,quarter_label,index_label,MissingValue
"Albania, Durres",Q4 2006,10.34,
"Albania, Durres",Q1 2007,11.15,
"Albania, Durres",Q2 2007,11.15,
"Albania, Durres",Q3 2007,10.32,
"Albania, Durres",Q4 2007,10.61,
"Albania, Durres",Q1 2008,15.18,
"Albania, Durres",Q2 2008,15.3,
"Albania, Durres",Q3 2008,27.32,
"Albania, Durres",Q4 2008,30.88,
"Albania, Durres",Q1 2009,30.59,
"Albania, Durres",Q2 2009,26.78,
"Albania, Durres",Q3 2009,30.03,
"Albania, Durres",Q4 2009,21.75,
"Albania, Durres",Q1 2010,27.38,
"Albania, Durres",Q2 2010,22.18,
"Albania, Durres",Q3 2010,22.18,
"Albania, Durres",Q4 2010,22.19,
"Albania, Durres",Q1 2011,22.83,
"Albania, Durres",Q2 2011,30.59,
"Albania, Durres",Q3 2011,27.35,
"Albania, Durres",Q4 2011,26.25,
"Albania, Durres",Q1 2012,26.25,
"Albania, Durres",Q2 2012,38.56,
"Albania, Durres",Q3 2012,35.77,
"Albania, Durres",Q4 2012,25.05,
"Albania, Durres",Q1 2013,32.24,
"Albania, Durres",Q2 2013,33.2,
"Albania, Durres",Q3 2013,39.07,
"Albania, Durres",Q4 2013,28.67,
"Albania, Durres",Q1 2014,35.34,
"Albania, Durres",Q2 2014,25.79,
"Albania, Durres",Q3 2014,35.73,
"Albania, Durres",Q4 2014,36.36,
"Albania, Durres",Q1 2015,35.85,
"Albania, Durres",Q2 2015,37.13,
"Albania, Durres",Q3 2015,37.04,
"Albania, Durres",Q4 2015,37.01,
"Albania, Durres",Q1 2016,37.08,
"Albania, Durres",Q2 2016,31.13,
"Albania, Durres",Q3 2016,41.82,
"Albania, Durres",Q4 2016,42.48,
"Albania, Durres",Q1 2017,45.63,
"Albania, Durres",Q2 2017,37.53,
"Albania, Durres",Q3 2017,34.46,
"Albania, Durres",Q4 2017,33.84,
"Albania, Durres",Q1 2018,33.81,
"Albania, Durres",Q2 2018,18.31,
"Albania, Durres",Q3 2018,29.89,
"Albania, Durres",Q4 2018,33.49,
"Albania, Durres",Q1 2019,34.35,
"Albania, Durres",Q2 2019,33.13,
"Albania, Durres",Q3 2019,42.23,
"Albania, Durres",Q4 2019,41.59,
"Albania, Durres",Q1 2020,37.27,
"Albania, Durres",Q2 2020,37.24,
"Albania, Durres",Q3 2020,30.24,
"Albania, Durres",Q4 2020,30.24,
"Albania, Durres",Q1 2021,30.7,
"Albania, Durres",Q2 2021,30.7,
"Albania, Durres",Q3 2021,32.79,
"Albania, Durres",Q4 2021,32.77,
"Albania, Durres",Q1 2022,28.87,
"Albania, Durres",Q2 2022,26.5,
"Albania, Durres",Q3 2022,27.14,
"Albania, Durres",Q4 2022,26.93,
"Albania, Durres",Q1 2023,26.3,
"Albania, Durres",Q2 2023,25.7,
"Albania, Durres",Q3 2023,25.7,
"Albania, Durres",Q4 2023,28.08,
"Albania, Durres",Q1 2024,27.37,
"Albania, Durres",Q2 2024,27.37,
"Albania, Durres",Q3 2024,34.81,
"Albania, Durres",Q4 2024,27.37,
"Albania, Durres",Q1 2025,31.64,
"Algeria, Algiers",Q1 2006,114.73,
"Algeria, Algiers",Q2 2006,126.62,
"Algeria, Algiers",Q3 2006,127.52,
"Algeria, Algiers",Q4 2006,134.31,
"Algeria, Algiers",Q1 2007,123.27,
"Algeria, Algiers",Q2 2007,126.86,
"Algeria, Algiers",Q3 2007,124.71,
"Algeria, Algiers",Q4 2007,126.91,
"Algeria, Algiers",Q1 2008,126.62,
"Algeria, Algiers",Q2 2008,127.47,
"Algeria, Algiers",Q3 2008,136.29,
"Algeria, Algiers",Q4 2008,135.2,
"Algeria, Algiers",Q1 2009,132.9,
"Algeria, Algiers",Q2 2009,138.61,
"Algeria, Algiers",Q3 2009,122.34,
"Algeria, Algiers",Q4 2009,126.59,
"Algeria, Algiers",Q1 2010,128.71,
